job,NACE_category,Category_description
חקלאי עצמאי במפעל,A,Agriculture Forestry and Fishing
חקלאית,A,Agriculture Forestry and Fishing
חשב כספים,K,Financial and Insurance
חשבונאות,K,Financial and Insurance
חשמל,D,Electricity Gas Steam and Air Conditioning Supply
חשמל סולארי,D,Electricity Gas Steam and Air Conditioning Supply
חשמלאי,D,Electricity Gas Steam and Air Conditioning Supply
טבח,I,Accommodation and Food
טבחית,I,Accommodation and Food
טבע,C,Manufacturing
טייח,F,Construction
טיפול בילדים סייעת,Q,Human Health and Social Work
טיפול בקשישים,Q,Human Health and Social Work
טכאי שיניים,Q,Human Health and Social Work
טכנאי,M,Professional Scientific and Technical
טכנאי אלקטרוניקה,M,Professional Scientific and Technical
טכנאי חשמל,D,Electricity Gas Steam and Air Conditioning Supply
טכנאי מטוסים,M,Professional Scientific and Technical
טכנאי מכונות תפירה,C,Manufacturing
טכנאי רנטגן,Q,Human Health and Social Work
טכנאית רנטגן,Q,Human Health and Social Work
טכנולוגיה,J,Information and Communication
טסטר,M,Professional Scientific and Technical
יהלומן,C,Manufacturing
יועץ בטחוני,M,Professional Scientific and Technical
יועץ המים,M,Professional Scientific and Technical
יועץ לאדריכלים,M,Professional Scientific and Technical
יועץ מס,K,Financial and Insurance
יועצת יופי,S,Other
יועצת מס,K,Financial and Insurance
יועצת תעסוקה,N,Administrative and Support
ימלטח,N,Administrative and Support
יעוץ תעשייתי,M,Professional Scientific and Technical
כימאית,M,Professional Scientific and Technical
כירורג,Q,Human Health and Social Work
ככובסת,S,Other
כלכלן,K,Financial and Insurance
כללית,Q,Human Health and Social Work
כמורה,P,Education
כמזכירה,N,Administrative and Support
כמטפלת,Q,Human Health and Social Work
כמטפלת בקשיש,Q,Human Health and Social Work
כמנהלת פדגוגי אזורי,P,Education
כמסגר,F,Construction
כספות,C,Manufacturing
כעצמאי,M,Professional Scientific and Technical
לוגיסטיקה הביטחון,N,Administrative and Support
ליטוש תכשיטים,C,Manufacturing
מאבטח,N,Administrative and Support
מאפיה,I,Accommodation and Food
מבקר בנייה עצמאי,F,Construction
מבקרת בית החולים,Q,Human Health and Social Work
מדינה,O,Public Administration and Defence
מדעי המחשב,J,Information and Communication
מדריך נוער בסיכון,Q,Human Health and Social Work
מדריך תיירים,I,Accommodation and Food
מהנדס,M,Professional Scientific and Technical
מהנדס אלקטרוניקה,M,Professional Scientific and Technical
מהנדס בניין,F,Construction
מהנדס חשמל,M,Professional Scientific and Technical
מהנדס מכונות,M,Professional Scientific and Technical
מהנדסת,M,Professional Scientific and Technical
מוזיקאי,R,Arts Entertainment and Recreation
מוכנאי,C,Manufacturing
מוכרת בחנות,G,Wholesale and Retail Trade; Repair Services
מוסך,G,Wholesale and Retail Trade; Repair Services
מורה,P,Education
מורה בדימוס,P,Education
מורה בתיכון,P,Education
מורה דרך,I,Accommodation and Food
מורה לאנגלית,P,Education
מורה למוזיקה,R,Arts Entertainment and Recreation
מורה למתמטיקה,P,Education
מורה לנהיגה,P,Education
מורה לספורט,P,Education
מורה לעברית,P,Education
מורה לפיזיקה,P,Education
מורה לפסנתר,R,Arts Entertainment and Recreation
מורה מורת דרך,P,Education
מורה נהיגה,P,Education
מורה פיסיקה,P,Education
מורת,P,Education
מזגנים,D,Electricity Gas Steam and Air Conditioning Supply
מזגרות,F,Construction
מזכיר מושב משמרת,N,Administrative and Support
מזכירה,N,Administrative and Support
מזכירה במכבי,Q,Human Health and Social Work
מחלק עיתונים,H,Transportation and Storage
מחסן,N,Administrative and Support
מחסנאי,N,Administrative and Support
מחשבים,J,Information and Communication
מחשוב,J,Information and Communication
מטבח,I,Accommodation and Food
מטפל,Q,Human Health and Social Work
מטפל בקשישים,Q,Human Health and Social Work
מטפלת,Q,Human Health and Social Work
מטפלת בקשישים,Q,Human Health and Social Work
מטפלת פרטית,Q,Human Health and Social Work
מידע החולה משפחה,Q,Human Health and Social Work
מיילדת,Q,Human Health and Social Work
מיקרוביולוג,Q,Human Health and Social Work
מכואני טרקטור,C,Manufacturing
מכולת,G,Wholesale and Retail Trade; Repair Services
מכון יופי,S,Other
מכונאות,C,Manufacturing
מכונאי,C,Manufacturing
מכונאי מטוסים,M,Professional Scientific and Technical
מכירות,G,Wholesale and Retail Trade; Repair Services
מכנואי מטוסים,M,Professional Scientific and Technical
מכניקה,C,Manufacturing
מלווה בחינוך המיוחד,Q,Human Health and Social Work
מלווה ילדים,Q,Human Health and Social Work
מלמדת ספרות במכללה,P,Education
מנהל,M,Professional Scientific and Technical
מנהל אולם ספורט,R,Arts Entertainment and Recreation
מנהל איכות הסביבה,M,Professional Scientific and Technical
מנהל ביצוע,F,Construction
מנהל בית,N,Administrative and Support
מנהל בנק,K,Financial and Insurance
מנהל בקופת חולים,Q,Human Health and Social Work
מנהל חבל הסוכנות,O,Public Administration and Defence
מנהל חדר אוכל,I,Accommodation and Food
מנהל חשבונות,K,Financial and Insurance
מנהל מכירות,G,Wholesale and Retail Trade; Repair Services
מנהל מעבדה,M,Professional Scientific and Technical
מנהל סוכני ביטוח,K,Financial and Insurance
מנהל פרוייקט בתעשיה,M,Professional Scientific and Technical
מנהל פרוייקטים בבניין,F,Construction
מנהל פרויקטים,M,Professional Scientific and Technical
מנהל רפואית,Q,Human Health and Social Work
מנהל שיווק,M,Professional Scientific and Technical
מנהל תוכניות עבודה,N,Administrative and Support
מנהל תחנת מוניות,H,Transportation and Storage
מנהלמחסן,N,Administrative and Support
מנהלת,N,Administrative and Support
