date,Releasing_Doctor,sum
19/01/2020,11674,7
19/01/2020,7893,2
19/01/2020,11461,7
19/01/2020,11620,1
19/01/2020,7680,4
19/01/2020,6769,2
19/01/2020,9458,8
19/01/2020,6771,3
19/01/2020,11644,1
19/01/2020,8175,3
19/01/2020,10408,1
19/01/2020,9262,5
19/01/2020,10211,3
19/01/2020,11291,1
19/01/2020,8301,4
19/01/2020,6861,4
19/01/2020,9851,1
19/01/2020,11350,5
19/01/2020,6773,11
19/01/2020,11611,9
19/01/2020,10774,3
19/01/2020,8234,13
19/01/2020,11760,15
19/01/2020,9436,7
19/01/2020,9435,5
19/01/2020,6774,1
19/01/2020,9762,3
19/01/2020,10155,1
19/01/2020,11473,5
19/01/2020,8817,3
19/01/2020,9073,6
19/01/2020,10126,6
19/01/2020,10933,7
19/01/2020,7624,5
19/01/2020,10923,14
19/01/2020,8958,4
19/01/2020,8074,6
19/01/2020,9971,10
19/01/2020,10811,5
19/01/2020,9893,4
19/01/2020,9792,4
19/01/2020,8706,10
19/01/2020,10202,6
19/01/2020,10831,12
19/01/2020,10590,7
20/01/2020,9330,1
20/01/2020,7624,4
20/01/2020,6861,3
20/01/2020,11639,11
20/01/2020,11758,7
20/01/2020,10933,5
20/01/2020,11040,3
20/01/2020,10831,2
20/01/2020,8201,1
20/01/2020,10574,3
20/01/2020,11473,5
20/01/2020,10255,29
20/01/2020,11761,2
20/01/2020,8301,5
20/01/2020,6771,3
20/01/2020,9851,1
20/01/2020,6775,7
20/01/2020,11229,5
20/01/2020,11760,3
20/01/2020,11350,6
20/01/2020,6769,1
20/01/2020,11010,13
20/01/2020,10170,7
20/01/2020,9893,3
20/01/2020,11673,6
20/01/2020,9703,7
20/01/2020,8958,3
20/01/2020,11616,8
20/01/2020,6773,22
20/01/2020,9458,3
20/01/2020,9562,13
20/01/2020,11497,1
20/01/2020,11794,4
20/01/2020,11250,4
20/01/2020,10127,4
20/01/2020,11670,5
20/01/2020,11638,6
20/01/2020,9792,6
20/01/2020,6768,3
